Lead,Lead I
-2,178
-1,303
-0,648
-0,237
-0,105
-0,296
-0,864
-1,847
-3,26
-5,109
-7,388
-10,071
-13,122
-16,48
-20,066
-23,809
-27,653
-31,546
-35,448
-39,303
-43,039
-46,578
-49,844
-52,768
-55,302
-57,417
-59,098
-60,357
-61,233
-61,782
-62,083
-62,226
-62,285
-62,343
-62,486
-62,788
-63,357
-64,342
-65,837
-67,89
-70,465
-73,373
-76,402
-79,36
-81,972
-83,919
-84,986
-85,04
-84,202
-82,98
-81,885
-81,344
-81,789
-83,465
-86,39
-90,39
-94,766
-98,134
-98,982
-95,738
-86,822
-71,068
-47,588
-15,758
24,307
71,581
124,566
181,206
239,003
295,612
348,565
395,242
433,371
461,175
477,216
480,72
471,623
450,029
416,548
372,459
319,403
259,429
195,053
128,82
63,016
0,018
-57,909
-108,856
-151,235
-184,084
-207,304
-221,287
-226,508
-223,682
-213,928
-198,724
-179,854
-159,001
-137,344
-115,818
-95,521
-77,71
-63,391
-52,969
-46,243
-42,731
-42,077
-43,902
-47,519
-51,791
-55,475
-57,811
-58,562
-57,79
-55,615
-52,168
-47,708
-42,817
-38,272
-34,548
-31,791
-29,949
-28,84
-28,313
-28,257
-28,446
-28,558
-28,401
-27,89
-27,022
-25,889
-24,552
-23,02
-21,325
-19,498
-17,548
-15,494
-13,351
-11,111
-8,792
-6,409
-3,973
-1,511
0,959
3,428
5,886
8,337
10,785
13,223
15,641
18,021
20,341
22,589
24,765
26,87
28,91
30,896
32,835
34,744
36,643
38,547
40,47
42,421
44,41
46,45
48,561
50,763
53,082
55,539
58,148
60,924
63,878
67,022
70,362
73,902
77,642
81,585
85,737
90,105
94,694
99,504
104,53
109,766
115,198
120,814
126,596
132,518
138,56
144,698
150,914
157,195
163,528
169,892
176,268
182,628
188,946
195,209
201,404
207,518
213,548
219,493
225,366
231,191
236,992
242,78
248,557
254,31
260,021
265,675
271,258
276,755
282,15
287,411
292,503
297,389
302,028
306,365
310,328
313,821
316,746
319,026
320,601
321,429
321,483
320,736
319,165
316,751
313,483
309,36
304,391
298,583
291,952
284,53
276,373
267,573
258,232
248,44
238,278
227,815
217,114
206,241
195,263
184,248
173,259
162,368
151,64
141,141
130,94
121,093
111,637
102,583
93,927
85,662
77,789
70,306
63,213
56,503
50,162
44,176
38,522
33,167
28,079
23,224
18,566
14,07
9,712
5,479
1,368
-2,616
-6,473
-10,2
-13,793
-17,248
-20,553
-23,698
-26,666
-29,436
-31,989
-34,309
-36,383
-38,199
-39,751
-41,036
-42,059
-42,834
-43,374
-43,69
-43,798
-43,714
-43,456
-43,044
-42,5
-41,85
-41,116
-40,316
-39,47
-38,593
-37,7
-36,804
-35,915
-35,039
-34,183
-33,352
-32,554
-31,795
-31,078
-30,408
-29,787
-29,217
-28,701
-28,239
-27,833
-27,486
-27,198
-26,971
-26,805
-26,702
-26,663
-26,686
-26,77
-26,914
-27,114
-27,368
-27,674
-28,027
-28,424
-28,862
-29,337
-29,845
-30,383
-30,948
-31,536
-32,144
-32,768
-33,405
-34,052
-34,707
-35,366
-36,027
-36,689
-37,349
-38,005
-38,655
-39,299
-39,935
-40,562
-41,178
-41,783
-42,376
-42,956
-43,524
-44,079
-44,62
-45,148
-45,664
-46,167
-46,658
-47,138
-47,607
-48,066
-48,515
-48,954
-49,385
-49,808
-50,222
-50,63
-51,03
-51,424
-51,812
-52,194
-52,57
-52,941
-53,306
-53,665
-54,017
-54,362
-54,699
-55,028
-55,349
-55,659
-55,96
-56,25
-56,529
-56,797
-57,052
-57,295
-57,524
-57,74
-57,942
-58,129
-58,302
-58,46
-58,604
-58,734
-58,849
-58,949
-59,036
-59,109
-59,168
-59,213
-59,245
-59,264
-59,271
-59,266
-59,251
-59,226
-59,193
-59,153
-59,109
-59,06
-59,009
-58,957
-58,906
-58,857
-58,812
-58,772
-58,738
-58,713
-58,697
-58,692
-58,698
-58,716
-58,747
-58,791
-58,849
-58,921
-59,008
-59,109
-59,225
-59,357
-59,504
-59,666
-59,845
-60,039
-60,249
-60,475
-60,715
-60,969
-61,237
-61,517
-61,808
-62,109
-62,419
-62,736
-63,058
-63,385
-63,715
-64,045
-64,375
-64,702
-65,025
-65,343
-65,654
-65,958
-66,253
-66,539
-66,815
-67,08
-67,334
-67,577
-67,807
-68,024
-68,227
-68,415
-68,588
-68,746
-68,887
-69,012
-69,12
-69,211
-69,285
-69,341
-69,38
-69,402
-69,408
-69,398
-69,373
-69,333
-69,28
-69,215
-69,139
-69,053
-68,958
-68,856
-68,747
-68,633
-68,526
-68,403
-68,256
-68,093
-67,885
-67,746
-67,764
-67,836
-67,994
-67,827
-67,003
-65,82
-64,325
-64,028
-64,672
-67,096
-79,178
-85,104
-57,599
-32,642
-55,266
-84,51
-78,907
-65,041
-63,141
-63,693
-63,591
-64,423
-65,11
-65,465
-65,49
-65,331
-65,285
-65,292
-65,331
-65,408
-65,49
-65,585
-65,701
-65,833
-65,982
-66,149
-66,334
-66,538
-66,758
-66,996
-67,248
-67,514
-67,79
-68,073
-68,36
-68,648
-68,934
-69,214
-69,485
-69,744
-69,989
-70,217
-70,425
-70,611
-70,769
-70,898
-70,992
-71,049
-71,063
-71,029
-70,941
-70,796
-70,588
-70,312
-69,962
-69,531
-69,007
-68,387
-67,665
-66,841
-65,914
-64,886
-63,76
-62,546
-61,255
-59,901
-58,492
-57,035
-55,536
-54
-52,44
-50,864
-49,281
-47,694
-46,101
-44,495
-42,87
-41,211
-39,499
-37,708
-35,808
-33,775
-31,601
-29,283
-26,825
-24,233
-21,507
-18,66
-15,713
-12,692
-9,635
-6,588
-3,596
-0,724
1,951
4,352
6,396
8,015
9,167
9,814
9,932
9,501
8,501
6,921
4,768
2,055
-1,193
-4,938
-9,136
-13,718
-18,591
-23,657
-28,813
-33,966
-39,043
-43,981
-48,714
-53,183
-57,327
-61,078
-64,39
-67,218
-69,528
-71,309
-72,562
-73,308
-73,603
-73,512
-73,111
-72,498
-71,764
-71,002
-70,32
-69,812
-69,602
-69,875
-70,742
-72,249
-74,347
-76,814
-79,422
-82,005
-84,301
-85,971
-86,826
-86,787
-86,087
-85,426
-85,413
-86,478
-89,03
-93,27
-99,142
-106,342
-113,864
-119,897
-122,598
-120,154
-110,84
-93,435
-66,958
-30,753
14,816
68,347
127,952
191,084
254,876
316,734
373,798
423,073
462,204
489,415
503,394
503,897
491,31
466,032
429,151
382,413
327,683
267,232
203,645
138,961
75,009
13,891
-42,543
-92,715
-135,179
-169,169
-194,663
-211,669
-220,333
-221,191
-215,084
-203,323
-187,632
-169,576
-150,263
-130,734
-112,105
-95,56
-82,083
-72,009
-65,057
-60,721
-58,624
-58,405
-59,503
-60,992
-61,865
-61,579
-60,08
-57,578
-54,313
-50,46
-46,259
-42,186
-38,846
-36,585
-35,448
-35,297
-35,894
-37,05
-38,625
-40,404
-42,087
-43,464
-44,42
-44,917
-44,992
-44,666
-43,915
-42,743
-41,183
-39,276
-37,074
-34,624
-31,951
-29,091
-26,08
-22,953
-19,753
-16,518
-13,273
-10,042
-6,848
-3,713
-0,67
2,257
5,058
7,734
10,297
12,762
15,141
17,448
19,707
21,936
24,158
26,39
28,647
30,945
33,302
35,74
38,285
40,958
43,776
46,751
49,892
53,209
56,708
60,392
64,261
68,315
72,557
76,988
81,613
86,432
91,445
96,65
102,044
107,622
113,375
119,297
125,379
131,614
137,996
144,517
151,163
157,922
164,778
171,711
178,702
185,723
192,741
199,724
206,643
213,477
220,207
226,815
233,283
239,592
245,722
251,662
257,406
262,943
268,261
273,348
278,201
282,827
287,246
291,471
295,503
299,327
302,923
306,268
309,339
312,106
314,533
316,568
318,168
319,3
319,94
320,065
319,641
318,622
316,949
314,585
311,511
307,724
303,241
298,076
292,256
285,828
278,851
271,399
263,533
255,292
246,708
237,817
228,669
219,329
209,872
200,35
190,803
181,264
171,755
162,297
152,902
143,555
134,236
124,931
115,642
106,402
97,255
88,236
79,37
70,671
62,15
