"Laikotarpis","Rodiklis","Kelių įvykis","Matavimo vienetai","Reikšmė"
"2009M08","Kelių eismo įvykiai, kuriuose nukentėjo žmonės","Visi kelių eismo įvykiai","vnt.","349"
"2009M07","Kelių eismo įvykiai, kuriuose nukentėjo žmonės","Visi kelių eismo įvykiai","vnt.","361"
"2009M06","Kelių eismo įvykiai, kuriuose nukentėjo žmonės","Visi kelių eismo įvykiai","vnt.","321"
"2009M05","Kelių eismo įvykiai, kuriuose nukentėjo žmonės","Visi kelių eismo įvykiai","vnt.","367"
"2009M04","Kelių eismo įvykiai, kuriuose nukentėjo žmonės","Visi kelių eismo įvykiai","vnt.","308"
"2009M03","Kelių eismo įvykiai, kuriuose nukentėjo žmonės","Visi kelių eismo įvykiai","vnt.","216"
"2009M02","Kelių eismo įvykiai, kuriuose nukentėjo žmonės","Visi kelių eismo įvykiai","vnt.","247"
"2009M01","Kelių eismo įvykiai, kuriuose nukentėjo žmonės","Visi kelių eismo įvykiai","vnt.","262"
"2008M12","Kelių eismo įvykiai, kuriuose nukentėjo žmonės","Visi kelių eismo įvykiai","vnt.","409"
"2008M11","Kelių eismo įvykiai, kuriuose nukentėjo žmonės","Visi kelių eismo įvykiai","vnt.","371"
"2008M10","Kelių eismo įvykiai, kuriuose nukentėjo žmonės","Visi kelių eismo įvykiai","vnt.","423"
"2008M09","Kelių eismo įvykiai, kuriuose nukentėjo žmonės","Visi kelių eismo įvykiai","vnt.","409"
"2008M08","Kelių eismo įvykiai, kuriuose nukentėjo žmonės","Visi kelių eismo įvykiai","vnt.","438"
"2008M07","Kelių eismo įvykiai, kuriuose nukentėjo žmonės","Visi kelių eismo įvykiai","vnt.","434"
"2008M06","Kelių eismo įvykiai, kuriuose nukentėjo žmonės","Visi kelių eismo įvykiai","vnt.","437"
"2008M05","Kelių eismo įvykiai, kuriuose nukentėjo žmonės","Visi kelių eismo įvykiai","vnt.","394"
"2008M04","Kelių eismo įvykiai, kuriuose nukentėjo žmonės","Visi kelių eismo įvykiai","vnt.","392"
"2008M03","Kelių eismo įvykiai, kuriuose nukentėjo žmonės","Visi kelių eismo įvykiai","vnt.","313"
"2008M02","Kelių eismo įvykiai, kuriuose nukentėjo žmonės","Visi kelių eismo įvykiai","vnt.","363"
"2008M01","Kelių eismo įvykiai, kuriuose nukentėjo žmonės","Visi kelių eismo įvykiai","vnt.","413"
"2007M12","Kelių eismo įvykiai, kuriuose nukentėjo žmonės","Visi kelių eismo įvykiai","vnt.","548"
"2007M11","Kelių eismo įvykiai, kuriuose nukentėjo žmonės","Visi kelių eismo įvykiai","vnt.","539"
"2007M10","Kelių eismo įvykiai, kuriuose nukentėjo žmonės","Visi kelių eismo įvykiai","vnt.","591"
"2007M09","Kelių eismo įvykiai, kuriuose nukentėjo žmonės","Visi kelių eismo įvykiai","vnt.","606"
"2007M08","Kelių eismo įvykiai, kuriuose nukentėjo žmonės","Visi kelių eismo įvykiai","vnt.","631"
"2007M07","Kelių eismo įvykiai, kuriuose nukentėjo žmonės","Visi kelių eismo įvykiai","vnt.","555"
"2007M06","Kelių eismo įvykiai, kuriuose nukentėjo žmonės","Visi kelių eismo įvykiai","vnt.","605"
"2007M05","Kelių eismo įvykiai, kuriuose nukentėjo žmonės","Visi kelių eismo įvykiai","vnt.","545"
"2007M04","Kelių eismo įvykiai, kuriuose nukentėjo žmonės","Visi kelių eismo įvykiai","vnt.","499"
"2007M03","Kelių eismo įvykiai, kuriuose nukentėjo žmonės","Visi kelių eismo įvykiai","vnt.","499"
"2007M02","Kelių eismo įvykiai, kuriuose nukentėjo žmonės","Visi kelių eismo įvykiai","vnt.","294"
"2007M01","Kelių eismo įvykiai, kuriuose nukentėjo žmonės","Visi kelių eismo įvykiai","vnt.","536"
"2006M12","Kelių eismo įvykiai, kuriuose nukentėjo žmonės","Visi kelių eismo įvykiai","vnt.","691"
"2006M11","Kelių eismo įvykiai, kuriuose nukentėjo žmonės","Visi kelių eismo įvykiai","vnt.","577"
"2006M10","Kelių eismo įvykiai, kuriuose nukentėjo žmonės","Visi kelių eismo įvykiai","vnt.","589"
"2006M09","Kelių eismo įvykiai, kuriuose nukentėjo žmonės","Visi kelių eismo įvykiai","vnt.","638"
"2006M08","Kelių eismo įvykiai, kuriuose nukentėjo žmonės","Visi kelių eismo įvykiai","vnt.","663"
"2006M07","Kelių eismo įvykiai, kuriuose nukentėjo žmonės","Visi kelių eismo įvykiai","vnt.","635"
"2006M06","Kelių eismo įvykiai, kuriuose nukentėjo žmonės","Visi kelių eismo įvykiai","vnt.","643"
"2006M05","Kelių eismo įvykiai, kuriuose nukentėjo žmonės","Visi kelių eismo įvykiai","vnt.","558"
"2006M04","Kelių eismo įvykiai, kuriuose nukentėjo žmonės","Visi kelių eismo įvykiai","vnt.","464"
"2006M03","Kelių eismo įvykiai, kuriuose nukentėjo žmonės","Visi kelių eismo įvykiai","vnt.","354"
"2006M02","Kelių eismo įvykiai, kuriuose nukentėjo žmonės","Visi kelių eismo įvykiai","vnt.","390"
"2006M01","Kelių eismo įvykiai, kuriuose nukentėjo žmonės","Visi kelių eismo įvykiai","vnt.","386"
"2005M12","Kelių eismo įvykiai, kuriuose nukentėjo žmonės","Visi kelių eismo įvykiai","vnt.","639"
"2005M11","Kelių eismo įvykiai, kuriuose nukentėjo žmonės","Visi kelių eismo įvykiai","vnt.","606"
"2005M10","Kelių eismo įvykiai, kuriuose nukentėjo žmonės","Visi kelių eismo įvykiai","vnt.","692"
"2005M09","Kelių eismo įvykiai, kuriuose nukentėjo žmonės","Visi kelių eismo įvykiai","vnt.","658"
"2005M08","Kelių eismo įvykiai, kuriuose nukentėjo žmonės","Visi kelių eismo įvykiai","vnt.","664"
"2005M07","Kelių eismo įvykiai, kuriuose nukentėjo žmonės","Visi kelių eismo įvykiai","vnt.","703"
"2005M06","Kelių eismo įvykiai, kuriuose nukentėjo žmonės","Visi kelių eismo įvykiai","vnt.","618"
"2005M05","Kelių eismo įvykiai, kuriuose nukentėjo žmonės","Visi kelių eismo įvykiai","vnt.","596"
"2005M04","Kelių eismo įvykiai, kuriuose nukentėjo žmonės","Visi kelių eismo įvykiai","vnt.","432"
"2005M03","Kelių eismo įvykiai, kuriuose nukentėjo žmonės","Visi kelių eismo įvykiai","vnt.","314"
"2005M02","Kelių eismo įvykiai, kuriuose nukentėjo žmonės","Visi kelių eismo įvykiai","vnt.","335"
"2005M01","Kelių eismo įvykiai, kuriuose nukentėjo žmonės","Visi kelių eismo įvykiai","vnt.","515"
"2004M12","Kelių eismo įvykiai, kuriuose nukentėjo žmonės","Visi kelių eismo įvykiai","vnt.","599"
