"Laikotarpis","Rodiklis","Matavimo vienetai","Reikšmė"
"2016M05","Nuolatinių gyventojų skaičius mėnesio pradžioje","asmenys","2876179"
"2016M05","Mėnesinis gyvų gimusių kūdikių skaičius","asmenys","2768"
"2016M05","Mėnesinis mirusiųjų skaičius","asmenys","3444"
"2016M04","Nuolatinių gyventojų skaičius mėnesio pradžioje","asmenys","2878976"
"2016M04","Mėnesinis gyvų gimusių kūdikių skaičius","asmenys","2517"
"2016M04","Mėnesinis mirusiųjų skaičius","asmenys","3389"
"2016M03","Nuolatinių gyventojų skaičius mėnesio pradžioje","asmenys","2881945"
"2016M03","Mėnesinis gyvų gimusių kūdikių skaičius","asmenys","2604"
"2016M03","Mėnesinis mirusiųjų skaičius","asmenys","3593"
"2016M02","Nuolatinių gyventojų skaičius mėnesio pradžioje","asmenys","2884824"
"2016M02","Mėnesinis gyvų gimusių kūdikių skaičius","asmenys","2329"
"2016M02","Mėnesinis mirusiųjų skaičius","asmenys","3618"
"2016M01","Nuolatinių gyventojų skaičius mėnesio pradžioje","asmenys","2888558"
"2016M01","Mėnesinis gyvų gimusių kūdikių skaičius","asmenys","2512"
"2016M01","Mėnesinis mirusiųjų skaičius","asmenys","3982"
"2015M12","Nuolatinių gyventojų skaičius mėnesio pradžioje","asmenys","2890985"
"2015M12","Mėnesinis gyvų gimusių kūdikių skaičius","asmenys","2484"
"2015M12","Mėnesinis mirusiųjų skaičius","asmenys","3601"
"2015M11","Nuolatinių gyventojų skaičius mėnesio pradžioje","asmenys","2893742"
"2015M11","Mėnesinis gyvų gimusių kūdikių skaičius","asmenys","2335"
"2015M11","Mėnesinis mirusiųjų skaičius","asmenys","3310"
"2015M10","Nuolatinių gyventojų skaičius mėnesio pradžioje","asmenys","2896559"
"2015M10","Mėnesinis gyvų gimusių kūdikių skaičius","asmenys","2649"
"2015M10","Mėnesinis mirusiųjų skaičius","asmenys","3571"
"2015M09","Nuolatinių gyventojų skaičius mėnesio pradžioje","asmenys","2898756"
"2015M09","Mėnesinis gyvų gimusių kūdikių skaičius","asmenys","2854"
"2015M09","Mėnesinis mirusiųjų skaičius","asmenys","3008"
"2015M08","Nuolatinių gyventojų skaičius mėnesio pradžioje","asmenys","2901476"
"2015M08","Mėnesinis gyvų gimusių kūdikių skaičius","asmenys","2924"
"2015M08","Mėnesinis mirusiųjų skaičius","asmenys","3235"
"2015M07","Nuolatinių gyventojų skaičius mėnesio pradžioje","asmenys","2903951"
"2015M07","Mėnesinis gyvų gimusių kūdikių skaičius","asmenys","2841"
"2015M07","Mėnesinis mirusiųjų skaičius","asmenys","3311"
"2015M06","Nuolatinių gyventojų skaičius mėnesio pradžioje","asmenys","2905376"
"2015M06","Mėnesinis gyvų gimusių kūdikių skaičius","asmenys","2933"
"2015M06","Mėnesinis mirusiųjų skaičius","asmenys","3256"
"2015M05","Nuolatinių gyventojų skaičius mėnesio pradžioje","asmenys","2908321"
"2015M05","Mėnesinis gyvų gimusių kūdikių skaičius","asmenys","2641"
"2015M05","Mėnesinis mirusiųjų skaičius","asmenys","3471"
"2015M04","Nuolatinių gyventojų skaičius mėnesio pradžioje","asmenys","2912556"
"2015M04","Mėnesinis gyvų gimusių kūdikių skaičius","asmenys","2510"
"2015M04","Mėnesinis mirusiųjų skaičius","asmenys","3597"
"2015M03","Nuolatinių gyventojų skaičius mėnesio pradžioje","asmenys","2916229"
"2015M03","Mėnesinis gyvų gimusių kūdikių skaičius","asmenys","2543"
"2015M03","Mėnesinis mirusiųjų skaičius","asmenys","3969"
"2015M02","Nuolatinių gyventojų skaičius mėnesio pradžioje","asmenys","2918880"
"2015M02","Mėnesinis gyvų gimusių kūdikių skaičius","asmenys","2198"
"2015M02","Mėnesinis mirusiųjų skaičius","asmenys","3619"
"2015M01","Nuolatinių gyventojų skaičius mėnesio pradžioje","asmenys","2921262"
"2015M01","Mėnesinis gyvų gimusių kūdikių skaičius","asmenys","2563"
"2015M01","Mėnesinis mirusiųjų skaičius","asmenys","3828"
"2014M12","Nuolatinių gyventojų skaičius mėnesio pradžioje","asmenys","2922943"
"2014M12","Mėnesinis gyvų gimusių kūdikių skaičius","asmenys","2339"
"2014M12","Mėnesinis mirusiųjų skaičius","asmenys","3527"
"2014M11","Nuolatinių gyventojų skaičius mėnesio pradžioje","asmenys","2924889"
"2014M11","Mėnesinis gyvų gimusių kūdikių skaičius","asmenys","2403"
"2014M11","Mėnesinis mirusiųjų skaičius","asmenys","3261"
"2014M10","Nuolatinių gyventojų skaičius mėnesio pradžioje","asmenys","2927330"
"2014M10","Mėnesinis gyvų gimusių kūdikių skaičius","asmenys","2491"
"2014M10","Mėnesinis mirusiųjų skaičius","asmenys","3437"
"2014M09","Nuolatinių gyventojų skaičius mėnesio pradžioje","asmenys","2929027"
"2014M09","Mėnesinis gyvų gimusių kūdikių skaičius","asmenys","2781"
"2014M09","Mėnesinis mirusiųjų skaičius","asmenys","3165"
"2014M08","Nuolatinių gyventojų skaičius mėnesio pradžioje","asmenys","2930874"
"2014M08","Mėnesinis gyvų gimusių kūdikių skaičius","asmenys","2766"
"2014M08","Mėnesinis mirusiųjų skaičius","asmenys","3205"
